auto_lock,away_mode,away_preset_days,away_preset_temperature,battery_low,boost_time,child_lock,comfort_temperature,current_heating_setpoint,eco_temperature,force,holidays,holidays_schedule,linkquality,local_temperature,local_temperature_calibration,max_temperature,min_temperature,position,preset,running_state,system_mode,update_available,valve_detection,week,window_detection,window_open,workdays,workdays_schedule,unit_of_measurement,device_class,icon,friendly_name,update.installed_version,update.state,window_detection_params.minutes,window_detection_params.temperature
MANUAL,OFF,1,15,False,200,UNLOCK,21,21.5,19,normal,"[{'hour': 7, 'minute': 0, 'temperature': 20}, {'hour': 8, 'minute': 0, 'temperature': 21}, {'hour': 10, 'minute': 30, 'temperature': 20}, {'hour': 14, 'minute': 30, 'temperature': 21}, {'hour': 21, 'minute': 30, 'temperature': 20}, {'hour': 23, 'minute': 0, 'temperature': 19}]",07:00/20°C 08:00/21°C 10:30/20°C 14:30/21°C 21:30/20°C 23:00/19°C,63,22.5,-1,24,15,5,manual,heat,auto,False,,5+2,OFF,False,"[{'hour': 5, 'minute': 50, 'temperature': 20}, {'hour': 7, 'minute': 10, 'temperature': 19}, {'hour': 14, 'minute': 30, 'temperature': 20}, {'hour': 16, 'minute': 0, 'temperature': 21}, {'hour': 21, 'minute': 0, 'temperature': 20}, {'hour': 23, 'minute': 0, 'temperature': 19}]",05:50/20°C 07:10/19°C 14:30/20°C 16:00/21°C 21:00/20°C 23:00/19°C,°C,temperature,mdi:math-compass,Regulator temperatury - tomek local temperature calibration,unknown,idle,212,127
MANUAL,OFF,1,15,False,200,UNLOCK,21,21.5,19,normal,"[{'hour': 7, 'minute': 0, 'temperature': 20}, {'hour': 8, 'minute': 0, 'temperature': 21}, {'hour': 10, 'minute': 30, 'temperature': 20}, {'hour': 14, 'minute': 30, 'temperature': 21}, {'hour': 21, 'minute': 30, 'temperature': 20}, {'hour': 23, 'minute': 0, 'temperature': 19}]",07:00/20°C 08:00/21°C 10:30/20°C 14:30/21°C 21:30/20°C 23:00/19°C,66,22.5,-1,24,15,0,manual,idle,auto,False,,5+2,OFF,False,"[{'hour': 5, 'minute': 50, 'temperature': 20}, {'hour': 7, 'minute': 10, 'temperature': 19}, {'hour': 14, 'minute': 30, 'temperature': 20}, {'hour': 16, 'minute': 0, 'temperature': 21}, {'hour': 21, 'minute': 0, 'temperature': 20}, {'hour': 23, 'minute': 0, 'temperature': 19}]",05:50/20°C 07:10/19°C 14:30/20°C 16:00/21°C 21:00/20°C 23:00/19°C,°C,temperature,mdi:math-compass,Regulator temperatury - tomek local temperature calibration,unknown,idle,212,127
MANUAL,OFF,1,15,False,200,UNLOCK,21,21.0,15,normal,"[{'hour': 5, 'minute': 0, 'temperature': 21}, {'hour': 8, 'minute': 0, 'temperature': 22}, {'hour': 9, 'minute': 30, 'temperature': 21}, {'hour': 12, 'minute': 0, 'temperature': 20}, {'hour': 16, 'minute': 0, 'temperature': 21}, {'hour': 21, 'minute': 0, 'temperature': 20}]",05:00/21°C 08:00/22°C 09:30/21°C 12:00/20°C 16:00/21°C 21:00/20°C,66,22.0,-1,24,15,15,manual,heat,auto,False,,5+2,OFF,False,"[{'hour': 4, 'minute': 0, 'temperature': 21}, {'hour': 6, 'minute': 15, 'temperature': 22}, {'hour': 7, 'minute': 0, 'temperature': 19}, {'hour': 14, 'minute': 30, 'temperature': 20}, {'hour': 16, 'minute': 0, 'temperature': 21}, {'hour': 20, 'minute': 30, 'temperature': 20}]",04:00/21°C 06:15/22°C 07:00/19°C 14:30/20°C 16:00/21°C 20:30/20°C,°C,temperature,mdi:math-compass,Regulator temperatury - kacper local temperature calibration,unknown,idle,213,0
MANUAL,OFF,1,15,False,200,UNLOCK,21,21.0,15,normal,"[{'hour': 5, 'minute': 0, 'temperature': 21}, {'hour': 8, 'minute': 0, 'temperature': 22}, {'hour': 9, 'minute': 30, 'temperature': 21}, {'hour': 12, 'minute': 0, 'temperature': 20}, {'hour': 16, 'minute': 0, 'temperature': 21}, {'hour': 21, 'minute': 0, 'temperature': 20}]",05:00/21°C 08:00/22°C 09:30/21°C 12:00/20°C 16:00/21°C 21:00/20°C,66,22.0,-1,24,15,10,manual,heat,auto,False,,5+2,OFF,False,"[{'hour': 4, 'minute': 0, 'temperature': 21}, {'hour': 6, 'minute': 15, 'temperature': 22}, {'hour': 7, 'minute': 0, 'temperature': 19}, {'hour': 14, 'minute': 30, 'temperature': 20}, {'hour': 16, 'minute': 0, 'temperature': 21}, {'hour': 20, 'minute': 30, 'temperature': 20}]",04:00/21°C 06:15/22°C 07:00/19°C 14:30/20°C 16:00/21°C 20:30/20°C,°C,temperature,mdi:math-compass,Regulator temperatury - kacper local temperature calibration,unknown,idle,213,0
MANUAL,OFF,1,15,False,200,UNLOCK,21,21.5,19,normal,"[{'hour': 7, 'minute': 0, 'temperature': 20}, {'hour': 8, 'minute': 0, 'temperature': 21}, {'hour': 10, 'minute': 30, 'temperature': 20}, {'hour': 14, 'minute': 30, 'temperature': 21}, {'hour': 21, 'minute': 30, 'temperature': 20}, {'hour': 23, 'minute': 0, 'temperature': 19}]",07:00/20°C 08:00/21°C 10:30/20°C 14:30/21°C 21:30/20°C 23:00/19°C,66,21.5,-1,24,15,0,manual,idle,auto,False,,5+2,OFF,False,"[{'hour': 5, 'minute': 50, 'temperature': 20}, {'hour': 7, 'minute': 10, 'temperature': 19}, {'hour': 14, 'minute': 30, 'temperature': 20}, {'hour': 16, 'minute': 0, 'temperature': 21}, {'hour': 21, 'minute': 0, 'temperature': 20}, {'hour': 23, 'minute': 0, 'temperature': 19}]",05:50/20°C 07:10/19°C 14:30/20°C 16:00/21°C 21:00/20°C 23:00/19°C,°C,temperature,mdi:math-compass,Regulator temperatury - tomek local temperature calibration,unknown,idle,212,127
MANUAL,OFF,1,15,False,200,UNLOCK,21,21.0,15,normal,"[{'hour': 5, 'minute': 0, 'temperature': 21}, {'hour': 8, 'minute': 0, 'temperature': 22}, {'hour': 9, 'minute': 30, 'temperature': 21}, {'hour': 12, 'minute': 0, 'temperature': 20}, {'hour': 16, 'minute': 0, 'temperature': 21}, {'hour': 21, 'minute': 0, 'temperature': 20}]",05:00/21°C 08:00/22°C 09:30/21°C 12:00/20°C 16:00/21°C 21:00/20°C,72,22.0,-1,24,15,10,manual,heat,auto,False,,5+2,OFF,False,"[{'hour': 4, 'minute': 0, 'temperature': 21}, {'hour': 6, 'minute': 15, 'temperature': 22}, {'hour': 7, 'minute': 0, 'temperature': 19}, {'hour': 14, 'minute': 30, 'temperature': 20}, {'hour': 16, 'minute': 0, 'temperature': 21}, {'hour': 20, 'minute': 30, 'temperature': 20}]",04:00/21°C 06:15/22°C 07:00/19°C 14:30/20°C 16:00/21°C 20:30/20°C,°C,temperature,mdi:math-compass,Regulator temperatury - kacper local temperature calibration,unknown,idle,213,0
MANUAL,OFF,1,15,False,200,UNLOCK,21,21.0,15,normal,"[{'hour': 5, 'minute': 0, 'temperature': 21}, {'hour': 8, 'minute': 0, 'temperature': 22}, {'hour': 9, 'minute': 30, 'temperature': 21}, {'hour': 12, 'minute': 0, 'temperature': 20}, {'hour': 16, 'minute': 0, 'temperature': 21}, {'hour': 21, 'minute': 0, 'temperature': 20}]",05:00/21°C 08:00/22°C 09:30/21°C 12:00/20°C 16:00/21°C 21:00/20°C,72,22.0,-1,24,15,5,manual,heat,auto,False,,5+2,OFF,False,"[{'hour': 4, 'minute': 0, 'temperature': 21}, {'hour': 6, 'minute': 15, 'temperature': 22}, {'hour': 7, 'minute': 0, 'temperature': 19}, {'hour': 14, 'minute': 30, 'temperature': 20}, {'hour': 16, 'minute': 0, 'temperature': 21}, {'hour': 20, 'minute': 30, 'temperature': 20}]",04:00/21°C 06:15/22°C 07:00/19°C 14:30/20°C 16:00/21°C 20:30/20°C,°C,temperature,mdi:math-compass,Regulator temperatury - kacper local temperature calibration,unknown,idle,213,0
MANUAL,OFF,1,15,False,200,UNLOCK,21,21.0,15,normal,"[{'hour': 5, 'minute': 0, 'temperature': 21}, {'hour': 8, 'minute': 0, 'temperature': 22}, {'hour': 9, 'minute': 30, 'temperature': 21}, {'hour': 12, 'minute': 0, 'temperature': 20}, {'hour': 16, 'minute': 0, 'temperature': 21}, {'hour': 21, 'minute': 0, 'temperature': 20}]",05:00/21°C 08:00/22°C 09:30/21°C 12:00/20°C 16:00/21°C 21:00/20°C,78,22.0,-1,24,15,0,manual,idle,auto,False,,5+2,OFF,False,"[{'hour': 4, 'minute': 0, 'temperature': 21}, {'hour': 6, 'minute': 15, 'temperature': 22}, {'hour': 7, 'minute': 0, 'temperature': 19}, {'hour': 14, 'minute': 30, 'temperature': 20}, {'hour': 16, 'minute': 0, 'temperature': 21}, {'hour': 20, 'minute': 30, 'temperature': 20}]",04:00/21°C 06:15/22°C 07:00/19°C 14:30/20°C 16:00/21°C 20:30/20°C,°C,temperature,mdi:math-compass,Regulator temperatury - kacper local temperature calibration,unknown,idle,213,0
MANUAL,OFF,1,15,False,200,UNLOCK,21,21.5,19,normal,"[{'hour': 7, 'minute': 0, 'temperature': 20}, {'hour': 8, 'minute': 0, 'temperature': 21}, {'hour': 10, 'minute': 30, 'temperature': 20}, {'hour': 14, 'minute': 30, 'temperature': 21}, {'hour': 21, 'minute': 30, 'temperature': 20}, {'hour': 23, 'minute': 0, 'temperature': 19}]",07:00/20°C 08:00/21°C 10:30/20°C 14:30/21°C 21:30/20°C 23:00/19°C,66,20.5,-1,24,15,0,manual,idle,auto,False,,5+2,OFF,False,"[{'hour': 5, 'minute': 50, 'temperature': 20}, {'hour': 7, 'minute': 10, 'temperature': 19}, {'hour': 14, 'minute': 30, 'temperature': 20}, {'hour': 16, 'minute': 0, 'temperature': 21}, {'hour': 21, 'minute': 0, 'temperature': 20}, {'hour': 23, 'minute': 0, 'temperature': 19}]",05:50/20°C 07:10/19°C 14:30/20°C 16:00/21°C 21:00/20°C 23:00/19°C,°C,temperature,mdi:math-compass,Regulator temperatury - tomek local temperature calibration,unknown,idle,212,127
MANUAL,OFF,1,15,False,200,UNLOCK,21,21.5,19,normal,"[{'hour': 7, 'minute': 0, 'temperature': 20}, {'hour': 8, 'minute': 0, 'temperature': 21}, {'hour': 10, 'minute': 30, 'temperature': 20}, {'hour': 14, 'minute': 30, 'temperature': 21}, {'hour': 21, 'minute': 30, 'temperature': 20}, {'hour': 23, 'minute': 0, 'temperature': 19}]",07:00/20°C 08:00/21°C 10:30/20°C 14:30/21°C 21:30/20°C 23:00/19°C,63,20.5,-1,24,15,5,manual,heat,auto,False,,5+2,OFF,False,"[{'hour': 5, 'minute': 50, 'temperature': 20}, {'hour': 7, 'minute': 10, 'temperature': 19}, {'hour': 14, 'minute': 30, 'temperature': 20}, {'hour': 16, 'minute': 0, 'temperature': 21}, {'hour': 21, 'minute': 0, 'temperature': 20}, {'hour': 23, 'minute': 0, 'temperature': 19}]",05:50/20°C 07:10/19°C 14:30/20°C 16:00/21°C 21:00/20°C 23:00/19°C,°C,temperature,mdi:math-compass,Regulator temperatury - tomek local temperature calibration,unknown,idle,212,127
MANUAL,OFF,1,15,False,200,UNLOCK,21,21.5,19,normal,"[{'hour': 7, 'minute': 0, 'temperature': 20}, {'hour': 8, 'minute': 0, 'temperature': 21}, {'hour': 10, 'minute': 30, 'temperature': 20}, {'hour': 14, 'minute': 30, 'temperature': 21}, {'hour': 21, 'minute': 30, 'temperature': 20}, {'hour': 23, 'minute': 0, 'temperature': 19}]",07:00/20°C 08:00/21°C 10:30/20°C 14:30/21°C 21:30/20°C 23:00/19°C,66,20.5,-1,24,15,5,manual,heat,auto,False,,5+2,OFF,False,"[{'hour': 5, 'minute': 50, 'temperature': 20}, {'hour': 7, 'minute': 10, 'temperature': 19}, {'hour': 14, 'minute': 30, 'temperature': 20}, {'hour': 16, 'minute': 0, 'temperature': 21}, {'hour': 21, 'minute': 0, 'temperature': 20}, {'hour': 23, 'minute': 0, 'temperature': 19}]",05:50/20°C 07:10/19°C 14:30/20°C 16:00/21°C 21:00/20°C 23:00/19°C,°C,temperature,mdi:math-compass,Regulator temperatury - tomek local temperature calibration,unknown,idle,212,127
MANUAL,OFF,1,15,False,200,UNLOCK,21,21.5,19,normal,"[{'hour': 7, 'minute': 0, 'temperature': 20}, {'hour': 8, 'minute': 0, 'temperature': 21}, {'hour': 10, 'minute': 30, 'temperature': 20}, {'hour': 14, 'minute': 30, 'temperature': 21}, {'hour': 21, 'minute': 30, 'temperature': 20}, {'hour': 23, 'minute': 0, 'temperature': 19}]",07:00/20°C 08:00/21°C 10:30/20°C 14:30/21°C 21:30/20°C 23:00/19°C,60,20.5,-1,24,15,10,manual,heat,auto,False,,5+2,OFF,False,"[{'hour': 5, 'minute': 50, 'temperature': 20}, {'hour': 7, 'minute': 10, 'temperature': 19}, {'hour': 14, 'minute': 30, 'temperature': 20}, {'hour': 16, 'minute': 0, 'temperature': 21}, {'hour': 21, 'minute': 0, 'temperature': 20}, {'hour': 23, 'minute': 0, 'temperature': 19}]",05:50/20°C 07:10/19°C 14:30/20°C 16:00/21°C 21:00/20°C 23:00/19°C,°C,temperature,mdi:math-compass,Regulator temperatury - tomek local temperature calibration,unknown,idle,212,127
MANUAL,OFF,1,15,False,200,UNLOCK,21,21.5,19,normal,"[{'hour': 7, 'minute': 0, 'temperature': 20}, {'hour': 8, 'minute': 0, 'temperature': 21}, {'hour': 10, 'minute': 30, 'temperature': 20}, {'hour': 14, 'minute': 30, 'temperature': 21}, {'hour': 21, 'minute': 30, 'temperature': 20}, {'hour': 23, 'minute': 0, 'temperature': 19}]",07:00/20°C 08:00/21°C 10:30/20°C 14:30/21°C 21:30/20°C 23:00/19°C,66,20.5,-1,24,15,10,manual,heat,auto,False,,5+2,OFF,False,"[{'hour': 5, 'minute': 50, 'temperature': 20}, {'hour': 7, 'minute': 10, 'temperature': 19}, {'hour': 14, 'minute': 30, 'temperature': 20}, {'hour': 16, 'minute': 0, 'temperature': 21}, {'hour': 21, 'minute': 0, 'temperature': 20}, {'hour': 23, 'minute': 0, 'temperature': 19}]",05:50/20°C 07:10/19°C 14:30/20°C 16:00/21°C 21:00/20°C 23:00/19°C,°C,temperature,mdi:math-compass,Regulator temperatury - tomek local temperature calibration,unknown,idle,212,127
MANUAL,OFF,1,15,False,200,UNLOCK,21,21.5,19,normal,"[{'hour': 7, 'minute': 0, 'temperature': 20}, {'hour': 8, 'minute': 0, 'temperature': 21}, {'hour': 10, 'minute': 30, 'temperature': 20}, {'hour': 14, 'minute': 30, 'temperature': 21}, {'hour': 21, 'minute': 30, 'temperature': 20}, {'hour': 23, 'minute': 0, 'temperature': 19}]",07:00/20°C 08:00/21°C 10:30/20°C 14:30/21°C 21:30/20°C 23:00/19°C,63,20.5,-1,24,15,15,manual,heat,auto,False,,5+2,OFF,False,"[{'hour': 5, 'minute': 50, 'temperature': 20}, {'hour': 7, 'minute': 10, 'temperature': 19}, {'hour': 14, 'minute': 30, 'temperature': 20}, {'hour': 16, 'minute': 0, 'temperature': 21}, {'hour': 21, 'minute': 0, 'temperature': 20}, {'hour': 23, 'minute': 0, 'temperature': 19}]",05:50/20°C 07:10/19°C 14:30/20°C 16:00/21°C 21:00/20°C 23:00/19°C,°C,temperature,mdi:math-compass,Regulator temperatury - tomek local temperature calibration,unknown,idle,212,127
MANUAL,OFF,1,15,False,200,UNLOCK,21,21.5,19,normal,"[{'hour': 7, 'minute': 0, 'temperature': 20}, {'hour': 8, 'minute': 0, 'temperature': 21}, {'hour': 10, 'minute': 30, 'temperature': 20}, {'hour': 14, 'minute': 30, 'temperature': 21}, {'hour': 21, 'minute': 30, 'temperature': 20}, {'hour': 23, 'minute': 0, 'temperature': 19}]",07:00/20°C 08:00/21°C 10:30/20°C 14:30/21°C 21:30/20°C 23:00/19°C,63,20.5,-1,24,15,20,manual,heat,auto,False,,5+2,OFF,False,"[{'hour': 5, 'minute': 50, 'temperature': 20}, {'hour': 7, 'minute': 10, 'temperature': 19}, {'hour': 14, 'minute': 30, 'temperature': 20}, {'hour': 16, 'minute': 0, 'temperature': 21}, {'hour': 21, 'minute': 0, 'temperature': 20}, {'hour': 23, 'minute': 0, 'temperature': 19}]",05:50/20°C 07:10/19°C 14:30/20°C 16:00/21°C 21:00/20°C 23:00/19°C,°C,temperature,mdi:math-compass,Regulator temperatury - tomek local temperature calibration,unknown,idle,212,127
